Population,Percent Infected,GeneExp
ET10,0.1,123.1210536
ET10,0.16,375.572824
ET10,0.14,311.7268603
ET3,1.58,532.3245841
ET3,1.82,270.3484175
ET3,1.82,504.409436
ET1,0.74,1641.996915
ET1,0.9,919.7655773
ET1,0.79,658.0748619
ET5,1.23,1509.72327
ET5,0.99,1005.857074
ET5,1.71,820.7851758
ET11,1.59,1602.34916
ET11,2.43,1351.952743
ET11,1.83,2450.864201
WT,2.91,4385.579387
WT,3.28,2536.194118
WT,2.94,5793.430483
ET6,1.91,1518.733703
ET6,1.43,7915.429128
ET6,1.64,3783.612781
ET4,2.59,7526.914653
ET4,2.32,8293.037934
ET4,1.87,5470.444024
ET2,1.24,62424.26728
ET2,1.06,512123.748
ET2,1.11,24371.72168
ET7,7.22,37474.64582
ET7,7.1,88326.49787
ET7,7.67,64750.57968
ET8,3.08,104894.0719
ET8,3.24,198965.0326
ET8,3.42,174632.4432
ET9,3.46,210769.7317
ET9,3.61,232309.3883
ET9,3.61,276570.2573
